Title,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO ,Na2O,K2O,P2O5,H2O,Initial Temperature,Final Temperature,Initial Pressure,Final Pressure,Increment Temperature,Increment Pressure,dp/dt,log fo2 Path
1,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,125,125,10,0,0,NNO
2,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,125,125,10,0,0,NNO
3,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,125,125,10,0,0,NNO
4,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,125,125,10,0,0,NNO
5,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,125,125,10,0,0,NNO
6,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,125,125,10,0,0,NNO
7,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,125,125,10,0,0,NNO
8,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,125,125,10,0,0,NNO
9,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813,0.1331,2,1200,900,125,125,10,0,0,NNO
10,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299,0.136,2,1200,900,125,125,10,0,0,NNO
11,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785,0.1389,2,1200,900,125,125,10,0,0,NNO
12,59,0.95,17.02,7.5625,0.1305,3.5531,7.4704,2.9284,1.2271,0.1418,2,1200,900,125,125,10,0,0,NNO
13,60,0.96,17.01,7.187,0.125,3.288,7.034,2.9652,1.2757,0.1447,2,1200,900,125,125,10,0,0,NNO
14,61,0.97,16.99,6.8115,0.1195,3.0229,6.5976,3.002,1.3243,0.1476,2,1200,900,125,125,10,0,0,NNO
15,62,0.98,16.97,6.436,0.114,2.7578,6.1612,3.0388,1.3729,0.1505,2,1200,900,125,125,10,0,0,NNO
16,63,0.99,16.95,6.0605,0.1085,2.4927,5.7248,3.0756,1.4215,0.1534,2,1200,900,125,125,10,0,0,NNO
17,64,1,16.94,5.685,0.103,2.2276,5.2884,3.1124,1.4701,0.1563,2,1200,900,125,125,10,0,0,NNO
18,65,1.01,16.92,5.3095,0.0975,1.9625,4.852,3.1492,1.5187,0.1592,2,1200,900,125,125,10,0,0,NNO
19,66,1.01,16.9,4.934,0.092,1.6974,4.4156,3.186,1.5673,0.1621,2,1200,900,125,125,10,0,0,NNO
20,67,1.02,16.89,4.5585,0.0865,1.4323,3.9792,3.2228,1.6159,0.165,2,1200,900,125,125,10,0,0,NNO
21,68,1.03,16.87,4.183,0.081,1.1672,3.5428,3.2596,1.6645,0.1679,2,1200,900,125,125,10,0,0,NNO
22,69,1.04,16.85,3.8075,0.0755,0.9021,3.1064,3.2964,1.7131,0.1708,2,1200,900,125,125,10,0,0,NNO
23,70,1.05,16.84,3.432,0.07,0.637,2.67,3.3332,1.7617,0.1737,2,1200,900,125,125,10,0,0,NNO
24,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,500,500,10,0,0,NNO
25,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,500,500,10,0,0,NNO
26,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,500,500,10,0,0,NNO
27,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,500,500,10,0,0,NNO
28,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,500,500,10,0,0,NNO
29,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,500,500,10,0,0,NNO
30,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,500,500,10,0,0,NNO
31,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,500,500,10,0,0,NNO
32,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813,0.1331,2,1200,900,500,500,10,0,0,NNO
33,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299,0.136,2,1200,900,500,500,10,0,0,NNO
34,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785,0.1389,2,1200,900,500,500,10,0,0,NNO
35,59,0.95,17.02,7.5625,0.1305,3.5531,7.4704,2.9284,1.2271,0.1418,2,1200,900,500,500,10,0,0,NNO
36,60,0.96,17.01,7.187,0.125,3.288,7.034,2.9652,1.2757,0.1447,2,1200,900,500,500,10,0,0,NNO
37,61,0.97,16.99,6.8115,0.1195,3.0229,6.5976,3.002,1.3243,0.1476,2,1200,900,500,500,10,0,0,NNO
38,62,0.98,16.97,6.436,0.114,2.7578,6.1612,3.0388,1.3729,0.1505,2,1200,900,500,500,10,0,0,NNO
39,63,0.99,16.95,6.0605,0.1085,2.4927,5.7248,3.0756,1.4215,0.1534,2,1200,900,500,500,10,0,0,NNO
40,64,1,16.94,5.685,0.103,2.2276,5.2884,3.1124,1.4701,0.1563,2,1200,900,500,500,10,0,0,NNO
41,65,1.01,16.92,5.3095,0.0975,1.9625,4.852,3.1492,1.5187,0.1592,2,1200,900,500,500,10,0,0,NNO
42,66,1.01,16.9,4.934,0.092,1.6974,4.4156,3.186,1.5673,0.1621,2,1200,900,500,500,10,0,0,NNO
43,67,1.02,16.89,4.5585,0.0865,1.4323,3.9792,3.2228,1.6159,0.165,2,1200,900,500,500,10,0,0,NNO
44,68,1.03,16.87,4.183,0.081,1.1672,3.5428,3.2596,1.6645,0.1679,2,1200,900,500,500,10,0,0,NNO
45,69,1.04,16.85,3.8075,0.0755,0.9021,3.1064,3.2964,1.7131,0.1708,2,1200,900,500,500,10,0,0,NNO
46,70,1.05,16.84,3.432,0.07,0.637,2.67,3.3332,1.7617,0.1737,2,1200,900,500,500,10,0,0,NNO
47,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,1000,1000,10,0,0,NNO
48,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,1000,1000,10,0,0,NNO
49,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,1000,1000,10,0,0,NNO
50,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,1000,1000,10,0,0,NNO
51,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,1000,1000,10,0,0,NNO
52,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,1000,1000,10,0,0,NNO
53,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,1000,1000,10,0,0,NNO
54,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,1000,1000,10,0,0,NNO
55,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813,0.1331,2,1200,900,1000,1000,10,0,0,NNO
56,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299,0.136,2,1200,900,1000,1000,10,0,0,NNO
57,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785,0.1389,2,1200,900,1000,1000,10,0,0,NNO
58,59,0.95,17.02,7.5625,0.1305,3.5531,7.4704,2.9284,1.2271,0.1418,2,1200,900,1000,1000,10,0,0,NNO
59,60,0.96,17.01,7.187,0.125,3.288,7.034,2.9652,1.2757,0.1447,2,1200,900,1000,1000,10,0,0,NNO
60,61,0.97,16.99,6.8115,0.1195,3.0229,6.5976,3.002,1.3243,0.1476,2,1200,900,1000,1000,10,0,0,NNO
61,62,0.98,16.97,6.436,0.114,2.7578,6.1612,3.0388,1.3729,0.1505,2,1200,900,1000,1000,10,0,0,NNO
62,63,0.99,16.95,6.0605,0.1085,2.4927,5.7248,3.0756,1.4215,0.1534,2,1200,900,1000,1000,10,0,0,NNO
63,64,1,16.94,5.685,0.103,2.2276,5.2884,3.1124,1.4701,0.1563,2,1200,900,1000,1000,10,0,0,NNO
64,65,1.01,16.92,5.3095,0.0975,1.9625,4.852,3.1492,1.5187,0.1592,2,1200,900,1000,1000,10,0,0,NNO
65,66,1.01,16.9,4.934,0.092,1.6974,4.4156,3.186,1.5673,0.1621,2,1200,900,1000,1000,10,0,0,NNO
66,67,1.02,16.89,4.5585,0.0865,1.4323,3.9792,3.2228,1.6159,0.165,2,1200,900,1000,1000,10,0,0,NNO
67,68,1.03,16.87,4.183,0.081,1.1672,3.5428,3.2596,1.6645,0.1679,2,1200,900,1000,1000,10,0,0,NNO
68,69,1.04,16.85,3.8075,0.0755,0.9021,3.1064,3.2964,1.7131,0.1708,2,1200,900,1000,1000,10,0,0,NNO
69,70,1.05,16.84,3.432,0.07,0.637,2.67,3.3332,1.7617,0.1737,2,1200,900,1000,1000,10,0,0,NNO
70,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,1500,1500,10,0,0,NNO
71,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,1500,1500,10,0,0,NNO
72,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,1500,1500,10,0,0,NNO
73,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,1500,1500,10,0,0,NNO
74,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,1500,1500,10,0,0,NNO
75,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,1500,1500,10,0,0,NNO
76,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,1500,1500,10,0,0,NNO
77,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,1500,1500,10,0,0,NNO
78,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813,0.1331,2,1200,900,1500,1500,10,0,0,NNO
79,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299,0.136,2,1200,900,1500,1500,10,0,0,NNO
80,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785,0.1389,2,1200,900,1500,1500,10,0,0,NNO
81,59,0.95,17.02,7.5625,0.1305,3.5531,7.4704,2.9284,1.2271,0.1418,2,1200,900,1500,1500,10,0,0,NNO
82,60,0.96,17.01,7.187,0.125,3.288,7.034,2.9652,1.2757,0.1447,2,1200,900,1500,1500,10,0,0,NNO
83,61,0.97,16.99,6.8115,0.1195,3.0229,6.5976,3.002,1.3243,0.1476,2,1200,900,1500,1500,10,0,0,NNO
84,62,0.98,16.97,6.436,0.114,2.7578,6.1612,3.0388,1.3729,0.1505,2,1200,900,1500,1500,10,0,0,NNO
85,63,0.99,16.95,6.0605,0.1085,2.4927,5.7248,3.0756,1.4215,0.1534,2,1200,900,1500,1500,10,0,0,NNO
86,64,1,16.94,5.685,0.103,2.2276,5.2884,3.1124,1.4701,0.1563,2,1200,900,1500,1500,10,0,0,NNO
87,65,1.01,16.92,5.3095,0.0975,1.9625,4.852,3.1492,1.5187,0.1592,2,1200,900,1500,1500,10,0,0,NNO
88,66,1.01,16.9,4.934,0.092,1.6974,4.4156,3.186,1.5673,0.1621,2,1200,900,1500,1500,10,0,0,NNO
89,67,1.02,16.89,4.5585,0.0865,1.4323,3.9792,3.2228,1.6159,0.165,2,1200,900,1500,1500,10,0,0,NNO
90,68,1.03,16.87,4.183,0.081,1.1672,3.5428,3.2596,1.6645,0.1679,2,1200,900,1500,1500,10,0,0,NNO
91,69,1.04,16.85,3.8075,0.0755,0.9021,3.1064,3.2964,1.7131,0.1708,2,1200,900,1500,1500,10,0,0,NNO
92,70,1.05,16.84,3.432,0.07,0.637,2.67,3.3332,1.7617,0.1737,2,1200,900,1500,1500,10,0,0,NNO
93,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,2000,2000,10,0,0,NNO
94,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,2000,2000,10,0,0,NNO
95,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,2000,2000,10,0,0,NNO
96,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,2000,2000,10,0,0,NNO
97,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,2000,2000,10,0,0,NNO
98,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,2000,2000,10,0,0,NNO
99,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,2000,2000,10,0,0,NNO
100,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,2000,2000,10,0,0,NNO
101,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813,0.1331,2,1200,900,2000,2000,10,0,0,NNO
102,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299,0.136,2,1200,900,2000,2000,10,0,0,NNO
103,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785,0.1389,2,1200,900,2000,2000,10,0,0,NNO
104,59,0.95,17.02,7.5625,0.1305,3.5531,7.4704,2.9284,1.2271,0.1418,2,1200,900,2000,2000,10,0,0,NNO
105,60,0.96,17.01,7.187,0.125,3.288,7.034,2.9652,1.2757,0.1447,2,1200,900,2000,2000,10,0,0,NNO
106,61,0.97,16.99,6.8115,0.1195,3.0229,6.5976,3.002,1.3243,0.1476,2,1200,900,2000,2000,10,0,0,NNO
107,62,0.98,16.97,6.436,0.114,2.7578,6.1612,3.0388,1.3729,0.1505,2,1200,900,2000,2000,10,0,0,NNO
108,63,0.99,16.95,6.0605,0.1085,2.4927,5.7248,3.0756,1.4215,0.1534,2,1200,900,2000,2000,10,0,0,NNO
109,64,1,16.94,5.685,0.103,2.2276,5.2884,3.1124,1.4701,0.1563,2,1200,900,2000,2000,10,0,0,NNO
110,65,1.01,16.92,5.3095,0.0975,1.9625,4.852,3.1492,1.5187,0.1592,2,1200,900,2000,2000,10,0,0,NNO
111,66,1.01,16.9,4.934,0.092,1.6974,4.4156,3.186,1.5673,0.1621,2,1200,900,2000,2000,10,0,0,NNO
112,67,1.02,16.89,4.5585,0.0865,1.4323,3.9792,3.2228,1.6159,0.165,2,1200,900,2000,2000,10,0,0,NNO
113,68,1.03,16.87,4.183,0.081,1.1672,3.5428,3.2596,1.6645,0.1679,2,1200,900,2000,2000,10,0,0,NNO
114,69,1.04,16.85,3.8075,0.0755,0.9021,3.1064,3.2964,1.7131,0.1708,2,1200,900,2000,2000,10,0,0,NNO
115,70,1.05,16.84,3.432,0.07,0.637,2.67,3.3332,1.7617,0.1737,2,1200,900,2000,2000,10,0,0,NNO
116,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,2500,2500,10,0,0,NNO
117,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,2500,2500,10,0,0,NNO
118,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,2500,2500,10,0,0,NNO
119,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,2500,2500,10,0,0,NNO
120,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,2500,2500,10,0,0,NNO
121,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,2500,2500,10,0,0,NNO
122,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,2500,2500,10,0,0,NNO
123,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,2500,2500,10,0,0,NNO
124,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813,0.1331,2,1200,900,2500,2500,10,0,0,NNO
125,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299,0.136,2,1200,900,2500,2500,10,0,0,NNO
126,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785,0.1389,2,1200,900,2500,2500,10,0,0,NNO
127,59,0.95,17.02,7.5625,0.1305,3.5531,7.4704,2.9284,1.2271,0.1418,2,1200,900,2500,2500,10,0,0,NNO
128,60,0.96,17.01,7.187,0.125,3.288,7.034,2.9652,1.2757,0.1447,2,1200,900,2500,2500,10,0,0,NNO
129,61,0.97,16.99,6.8115,0.1195,3.0229,6.5976,3.002,1.3243,0.1476,2,1200,900,2500,2500,10,0,0,NNO
130,62,0.98,16.97,6.436,0.114,2.7578,6.1612,3.0388,1.3729,0.1505,2,1200,900,2500,2500,10,0,0,NNO
131,63,0.99,16.95,6.0605,0.1085,2.4927,5.7248,3.0756,1.4215,0.1534,2,1200,900,2500,2500,10,0,0,NNO
132,64,1,16.94,5.685,0.103,2.2276,5.2884,3.1124,1.4701,0.1563,2,1200,900,2500,2500,10,0,0,NNO
133,65,1.01,16.92,5.3095,0.0975,1.9625,4.852,3.1492,1.5187,0.1592,2,1200,900,2500,2500,10,0,0,NNO
134,66,1.01,16.9,4.934,0.092,1.6974,4.4156,3.186,1.5673,0.1621,2,1200,900,2500,2500,10,0,0,NNO
135,67,1.02,16.89,4.5585,0.0865,1.4323,3.9792,3.2228,1.6159,0.165,2,1200,900,2500,2500,10,0,0,NNO
136,68,1.03,16.87,4.183,0.081,1.1672,3.5428,3.2596,1.6645,0.1679,2,1200,900,2500,2500,10,0,0,NNO
137,69,1.04,16.85,3.8075,0.0755,0.9021,3.1064,3.2964,1.7131,0.1708,2,1200,900,2500,2500,10,0,0,NNO
138,70,1.05,16.84,3.432,0.07,0.637,2.67,3.3332,1.7617,0.1737,2,1200,900,2500,2500,10,0,0,NNO
139,48,0.86,17.21,11.693,0.191,6.4692,12.2708,2.5236,0.6925,0.1099,2,1200,900,3000,3000,10,0,0,NNO
140,49,0.87,17.19,11.3175,0.1855,6.2041,11.8344,2.5604,0.7411,0.1128,2,1200,900,3000,3000,10,0,0,NNO
141,50,0.87,17.17,10.942,0.18,5.939,11.398,2.5972,0.7897,0.1157,2,1200,900,3000,3000,10,0,0,NNO
142,51,0.88,17.16,10.5665,0.1745,5.6739,10.9616,2.634,0.8383,0.1186,2,1200,900,3000,3000,10,0,0,NNO
143,52,0.89,17.14,10.191,0.169,5.4088,10.5252,2.6708,0.8869,0.1215,2,1200,900,3000,3000,10,0,0,NNO
144,53,0.9,17.12,9.8155,0.1635,5.1437,10.0888,2.7076,0.9355,0.1244,2,1200,900,3000,3000,10,0,0,NNO
145,54,0.91,17.11,9.44,0.158,4.8786,9.6524,2.7444,0.9841,0.1273,2,1200,900,3000,3000,10,0,0,NNO
146,55,0.92,17.09,9.0645,0.1525,4.6135,9.216,2.7812,1.0327,0.1302,2,1200,900,3000,3000,10,0,0,NNO
147,56,0.93,17.07,8.689,0.147,4.3484,8.7796,2.818,1.0813,0.1331,2,1200,900,3000,3000,10,0,0,NNO
148,57,0.94,17.06,8.3135,0.1415,4.0833,8.3432,2.8548,1.1299,0.136,2,1200,900,3000,3000,10,0,0,NNO
149,58,0.94,17.04,7.938,0.136,3.8182,7.9068,2.8916,1.1785,0.1389,2,1200,900,3000,3000,10,0,0,NNO
